Date;GDP;Infla;EPU_world;FCI_house;FCI_corpo;FCI_total
31/03/2010;3.09;2.4;110.5996318;-1.377799988;-1.175600052;-1.220600009
30/06/2010;5.44;2.08;128.11202;-1.518599987;-0.790000021;-0.870599985
30/09/2010;4.09;0.34;131.8102028;-1.576699972;-0.513400018;-0.614000022
31/12/2010;3.84;4.04;126.8447726;-1.421399951;-0.340200007;-0.433699995
31/03/2011;6.41;4.26;110.4977283;-1.106600046;-0.0297;-0.113600001
30/06/2011;0.95;2.24;107.4140461;-0.581799984;0.388099998;0.326700002
30/09/2011;0.65;1.38;187.2601568;-0.299400002;1.000800014;0.922299981
31/12/2011;-1.25;3.15;182.2395772;-0.183899999;1.241700053;1.156999946
31/03/2012;1.79;3.93;146.2625457;-0.201299995;0.910899997;0.842800021
30/06/2012;-0.09;1.03;158.8863014;-0.130899996;0.611299992;0.566200018
30/09/2012;2.46;2.34;144.9732087;-0.1558;0.098800004;0.077
31/12/2012;-0.99;1.59;167.1421714;-0.189099997;-0.31099999;-0.316599995
31/03/2013;0.54;1.99;144.8855111;-0.151500002;-0.4296;-0.423400015
30/06/2013;3.23;0.52;119.6731256;0.0149;-0.446399987;-0.418799996
30/09/2013;1.73;0.28;119.71662;0.231000006;-0.165800005;-0.128600001
31/12/2013;1.59;0.6;124.7103834;0.454400003;0.113600001;0.159299999
31/03/2014;3.25;0.48;107.5217948;0.643899977;0.269699991;0.321099997
30/06/2014;1.91;0.6;97.43522269;0.689199984;0.148100004;0.207399994
30/09/2014;2.58;-0.4;105.3329333;0.581099987;-0.046700001;0.0088
31/12/2014;2.57;-1.35;114.852452;0.402200013;-0.193700001;-0.147499993
31/03/2015;5.41;0.88;117.6329942;0.304100007;-0.413399994;-0.354799986
30/06/2015;4.26;2.91;108.551634;0.205899999;-0.459300011;-0.394199997
30/09/2015;2.72;-1.58;144.5249959;0.196099997;-0.307999998;-0.243100002
31/12/2015;2.94;-1.15;113.2884372;0.3028;-0.062199999;-0.0055
31/03/2016;2.28;-0.28;157.1333975;0.324400008;0.058499999;0.109200001
30/06/2016;2.03;3.28;173.546408;0.233899996;-0.122400001;-0.070799999
30/09/2016;2.96;-0.2;176.3339174;0.0526;-0.436699986;-0.385500014
31/12/2016;3.31;1.64;202.5729205;-0.0284;-0.460999995;-0.414600015
31/03/2017;5.59;1.43;234.3826215;-0.0436;-0.296999991;-0.259600013
30/06/2017;5.17;2.35;172.2320808;0.107699998;-0.045000002;-0.0107
30/09/2017;4.24;0.83;149.148688;0.225500003;0.082999997;0.118000001
31/12/2017;4.82;0.78;151.8743516;0.338499993;0.215700001;0.250400007
31/03/2018;2.39;1.65;148.2403595;0.446500003;0.501900017;0.529600024
30/06/2018;2.58;4.67;170.5874613;0.498400003;0.674899995;0.697099984
30/09/2018;2.62;1.27;199.8188005;0.53670001;0.74150002;0.762300014
31/12/2018;4.94;-1.41;246.5378015;0.531400025;0.92869997;0.943599999
31/03/2019;4.57;1.16;239.9051244;0.575699985;0.975600004;0.99089998
30/06/2019;3.13;4.13;249.7731355;0.564899981;0.774200022;0.798699975
30/09/2019;2.58;-0.45;284.5027727;0.397300005;0.269800007;0.3037
31/12/2019;2.83;0.53;259.2141177;0.199300006;-0.035500001;0.001
31/03/2020;-9.16;-1.13;271.7290562;-0.0027;-0.0405;-0.0113
30/06/2020;-34.72;2.15;373.0181846;-0.213100001;-0.141200006;-0.114399999
30/09/2020;47.93;-2.73;314.5332984;-0.623700023;-1.081099987;-1.035099983
31/12/2020;5.19;0.73;323.7933214;-1.083999991;-1.947399974;-1.894799948
31/03/2021;5.96;5.35;236.9876601;-1.16779995;-1.760900021;-1.728000045
30/06/2021;10.93;4.47;189.4577026;-1.455199957;-1.960700035;-1.940700054
30/09/2021;12.35;2.97;209.0852011;-1.667199969;-1.929800034;-1.927999973
31/12/2021;9.21;7.11;229.6652118;-1.866299987;-1.723799944;-1.743100047
31/03/2022;8.35;15.67;251.174454;-1.995800018;-1.25999999;-1.299200058
30/06/2022;9.6;9.21;289.7759074;-1.971899986;-0.417600006;-0.479900002
30/09/2022;7.63;7.92;285.3416549;-1.605499983;0.462700009;0.390700012
31/12/2022;6.85;4.29;298.8616135;-0.794799984;1.381199956;1.317800045
31/03/2023;8.59;6.18;266.969252;0.185399994;1.742300034;1.707900047
30/06/2023;5.31;3.75;229.9396918;1.158100009;1.761199951;1.766199946
30/09/2023;2.81;3.15;227.0638478;1.710899949;1.541000009;1.575799942
31/12/2023;5.44;-1.22;242.6576572;1.886999965;1.252900004;1.299399972
31/03/2024;4.36;4.13;201.1648703;1.724599957;0.818300009;0.7
30/06/2024;3.22;4.12;201.0720223;1.289000034;0.346300006;0.39410001
30/09/2024;4.4;0.06;226.8670362;0.827400029;-0.039700001;0.0024
