Date;FCI_house_BE;FCI_corpo_BE;FCI_gov_BE;FCI_total_BE;FCI_house_FR;FCI_corpo_FR;FCI_gov_FR;FCI_total_FR;FCI_house_GE;FCI_corpo_GE;FCI_gov_GE;FCI_total_GE;FCI_house_IT;FCI_corpo_IT;FCI_gov_IT;FCI_total_IT;FCI_house_LU;FCI_corpo_LU;FCI_gov_LU;FCI_total_LU;FCI_house_NT;FCI_corpo_NT;FCI_gov_NT;FCI_total_NT;FCI_house_SP;FCI_corpo_SP;FCI_gov_SP;FCI_total_SP;FCI_house_EU;FCI_corpo_EU;FCI_gov_EU;FCI_total_EU
31/03/2010;2.663399935;-0.323399991;0.577300012;-0.151600003;-0.532800019;-0.4833;-1.310799956;-0.483500004;0.758099973;-0.572600007;-0.694800019;-0.436500013;-1.486999989;-0.993300021;0.020099999;-1.052899957;-0.91170001;-1.923900008;-1.979200006;-1.92019999;-2.011600018;-1.638800025;-0.186399996;-1.672199965;-0.909300029;-0.270200014;-0.117399998;0.75849998;-1.377799988;-1.175600052;-0.305599988;-1.220600009
30/06/2010;2.336899996;-0.416200012;1.000699997;-0.257200003;-0.995000005;-0.633400023;-0.667699993;-0.646300018;0.374900013;-0.656599998;-0.321799994;-0.552900016;-1.793400049;-1.002099991;0.394800007;-1.094900012;-1.396199942;-2.025700092;-2.266799927;-2.026499987;-2.073600054;-1.692499995;0.066500001;-1.734500051;-1.363800049;0.269600004;-0.0003;1.220600009;-1.518599987;-0.790000021;0.084600002;-0.870599985
30/09/2010;1.764299989;-0.574500024;1.271700025;-0.444999993;-0.98299998;-0.5898;-0.168300003;-0.603900015;0.29519999;-0.336199999;-0.156900004;-0.258399993;-1.766499996;-0.703000009;0.649699986;-0.814999998;-1.507500052;-1.902699947;-2.254499912;-1.904199958;-1.804499984;-1.370300055;0.311199993;-1.417400002;-1.23300004;0.852199972;-0.282400012;1.784600019;-1.576699972;-0.513400018;0.264099985;-0.614000022
31/12/2010;1.180899978;-0.551599979;1.483700037;-0.460900009;-0.683600008;-0.473100007;0.149100006;-0.479299992;0.31310001;-0.157100007;-0.116599999;-0.091499999;-1.447700024;-0.467099994;0.693499982;-0.567099988;-1.33829999;-1.46389997;-1.832800031;-1.470999956;-1.309999943;-0.716300011;0.519900024;-0.777700007;-0.827899992;1.153499961;-0.717299998;2.144200087;-1.421399951;-0.340200007;0.413800001;-0.433699995
31/03/2011;0.917500019;-0.240500003;1.698400021;-0.181400001;-0.494100004;-0.292299986;0.537899971;-0.296799988;0.410899997;-0.029200001;0.292899996;0.035300002;-1.243899941;-0.27579999;0.898800015;-0.370400012;-1.089599967;-1.008000016;-1.121000051;-1.019000053;-1.127699971;-0.292800009;0.998300016;-0.364600003;-0.390300006;1.113199949;-0.847599983;2.180599928;-1.106600046;-0.0297;0.917699993;-0.113600001
30/06/2011;1.243899941;0.482899994;1.501000047;0.530700028;-0.388000011;-0.169100001;0.762000024;-0.174899995;0.642499983;0.188099995;0.644500017;0.259900004;-0.75029999;-0.170300007;0.826600015;-0.227400005;-0.591000021;-0.387300014;-0.399500012;-0.4005;-0.482899994;0.263000011;1.205800056;0.216199994;0.174400002;0.807699978;-0.939300001;1.971199989;-0.581799984;0.388099998;1.29369998;0.326700002
30/09/2011;1.067299962;0.783200026;1.043400049;0.805800021;-0.01;0.463400006;0.626100004;0.449000001;0.906799972;0.83890003;0.5722;0.896499991;-0.227500007;0.503899992;1.030599952;0.449400008;-0.225600004;0.061900001;0.113399997;0.049600001;0.225799993;0.749100029;1.029500008;0.719099998;0.742200017;1.27670002;-1.157199979;2.45539999;-0.299400002;1.000800014;1.262099981;0.922299981
31/12/2011;0.059300002;0.408499986;0.494300008;0.386099994;0.902400017;1.116299987;0.173199996;1.114899993;1.103399992;1.127400041;0.142000005;1.181800008;0.519500017;1.261999965;0.919799984;1.22329998;0.0099;0.419999987;0.154799998;0.407200009;0.67839998;0.834100008;0.401300013;0.849600017;1.129099965;1.738299966;-1.587599993;2.933300018;-0.183899999;1.241700053;0.958299994;1.156999946
31/03/2012;-0.357800007;-0.081100002;-0.054699998;-0.110299997;1.784999967;1.299600005;-0.476099998;1.327499986;1.293499947;1.078600049;-0.407099992;1.150500059;1.58829999;1.829399943;0.177900001;1.848899961;0.066799998;0.548500001;-0.158199996;0.532400012;0.608200014;0.658500016;-0.0634;0.695299983;1.486899972;2.158299923;-2.226300001;3.39560008;-0.201299995;0.910899997;0.461100012;0.842800021
30/06/2012;-0.088399999;-0.422800004;-0.470699996;-0.421499997;2.074800014;1.11559999;-0.939400017;1.162999988;1.095100045;0.708999991;-0.617200017;0.780799985;1.876700044;1.738000035;-0.290800005;1.784800053;-0.098200001;0.519999981;-0.570200026;0.501100004;0.56309998;0.362500012;-0.390899986;0.419099987;1.587599993;2.608599901;-2.694299936;3.865499973;-0.130899996;0.611299992;0.132100001;0.566200018
