Country;Date;Dummy;Corpo_DR_N;Corpo_DR_q25;Corpo_DR_q50;Corpo_DR_q75;Corpo_DR_WA
Austria;31/12/2015;1;8;0.005634621;0.00827575;0.021417947;0.008779276
Austria;31/03/2016;1;5;0.002999397;0.007506376;0.007571945;0.007409857
Austria;30/06/2016;1;6;0.000645835;0.004907921;0.006063498;0.00658445
Austria;30/09/2016;1;5;0.001058638;0.006866415;0.00694159;0.007830579
Austria;31/12/2016;1;8;0.004426576;0.007406476;0.01513554;0.007623391
Austria;31/03/2017;1;6;0.0021;0.0078;0.0095;0.0095
Austria;30/06/2017;1;4;0.0057;0.0081;0.0084;0.0081
Austria;30/09/2017;1;5;0.006239919;0.007169027;0.007278474;0.006983056
Austria;31/12/2017;1;10;0.012220262;0.040237141;0.268074315;0.019537221
Austria;31/03/2018;1;9;0.009344966;0.013983429;0.2299595;0.014786136
Austria;30/06/2018;1;7;0.0095;0.0134;0.2225;0.0154
Austria;30/09/2018;1;7;0.0094;0.0152;0.0598;0.0148
Austria;31/12/2018;1;6;0.0021;0.0078;0.0095;0.0095
Austria;31/03/2019;1;9;0;6.64747E-07;0.00559117;0.007646675
Austria;30/06/2019;1;9;0;0.003490688;0.009879478;0.008145834
Austria;30/09/2019;1;12;1.80489E-07;0.001363017;0.00823134;0.00913845
Austria;31/12/2019;1;12;2.93485E-05;0.006083694;0.008072174;0.006498419
Austria;31/03/2020;1;11;0;0.00494925;0.010661635;0.008473484
Austria;30/06/2020;1;13;0;0.006037045;0.012546208;0.008320395
Austria;30/09/2020;1;12;0.003470015;0.006187333;0.035073187;0.008347213
Austria;31/12/2020;1;11;0;0.005025121;0.014751841;0.012889567
Austria;31/03/2021;1;13;0;0.004985358;0.014332444;0.013554866
Austria;30/06/2021;1;17;0;0.003579036;0.015850783;0.013952919
Austria;30/09/2021;1;11;0;0.000810717;0.014772511;0.010961879
Austria;31/12/2021;1;14;0;0.000569285;0.002031289;0.002856367
Austria;31/03/2022;1;10;0;0.000882293;0.005132178;0.003757673
Austria;30/06/2022;1;10;0;1.06909E-06;0.004465677;0.003543675
Austria;30/09/2022;1;9;0.001297677;0.005286234;0.032738889;0.004580857
Austria;31/12/2022;1;8;0.002660883;0.005723545;0.029696296;0.005534883
Austria;31/03/2023;1;6;0.000794799;0.00509794;0.005496374;0.005067341
Austria;30/06/2023;1;6;0.000843894;0.003054909;0.005000073;0.004455565
Austria;30/09/2023;1;9;0;0.000937105;0.00486438;0.004866107
Austria;31/12/2023;1;15;0;0.00465186;0.014521151;0.01083028
Austria;31/03/2024;1;15;1.10507E-05;0.006027091;0.016288457;0.012753802
Austria;30/06/2024;1;12;1.16672E-07;0.000544012;0.012388326;0.012647999
Austria;30/09/2024;1;12;3.06487E-07;0.004210959;0.012815012;0.013323652
Austria;31/12/2024;1;18;0.004743649;0.012254704;0.039490008;0.012581909
Belgium;31/12/2015;1;13;0.004380188;0.009254714;0.012439476;0.014996402
Belgium;31/03/2016;1;12;0.002307603;0.009046329;0.013822425;0.014213739
Belgium;30/06/2016;1;14;0.002934666;0.008111126;0.033300104;0.014618025
Belgium;30/09/2016;1;16;0.000216572;0.005131835;0.009534164;0.014018659
Belgium;31/12/2016;1;13;0.00746415;0.009364778;0.031779706;0.012347135
Belgium;31/03/2017;1;9;0.0061;0.0096;0.0134;0.0114
Belgium;30/06/2017;1;10;0.0052;0.009;0.0155;0.0102
Belgium;30/09/2017;1;9;0.005335615;0.006964631;0.008126511;0.008040783
Belgium;31/12/2017;1;11;0.002903867;0.007476097;0.009465242;0.007618421
Belgium;31/03/2018;1;10;0.002911214;0.007886667;0.008423626;0.008103107
Belgium;30/06/2018;1;9;0.0062;0.0081;0.0098;0.0084
Belgium;30/09/2018;1;8;0.0066;0.0087;0.0183;0.0088
Belgium;31/12/2018;1;9;0.0061;0.0096;0.0134;0.0114
Belgium;31/03/2019;1;16;0;0.002012392;0.011754387;0.009785363
Belgium;30/06/2019;1;19;0;0.004494934;0.013926858;0.011729736
Belgium;30/09/2019;1;17;0;0.003451413;0.01168111;0.013217074
Belgium;31/12/2019;1;18;6.23227E-05;0.015429971;0.027030612;0.014605266
Belgium;31/03/2020;1;14;0.001352896;0.016292111;0.023991117;0.014514629
Belgium;30/06/2020;1;16;0.001676022;0.017219572;0.024737016;0.015578411
